gene	patient_id	biological_sample_id	tissue	cell_type	mean_expression	detection_rate	cell_count
ITGB1	P3	P3_PT	PT	endothelial	0.0920510610048906	0.0714285714285714	14
ITGB1	P3	P3_PT	PT	myeloid	0	0	23
ITGB1	P3	P3_PT	PT	other	0.416851469703089	0.136363636363636	22
ITGB1	P3	P3_PT	PT	epithelial	0	0	5
MMP14	P3	P3_PT	PT	plasma_cell	0.0231113954741067	0.00510204081632653	196
MMP14	P3	P3_PT	PT	B_cell	0.00247327700537133	0.00126103404791929	4758
MMP14	P3	P3_PT	PT	T_NK	0	0	135
MMP14	P3	P3_PT	PT	endothelial	0	0	14
MMP14	P3	P3_PT	PT	myeloid	0.108440143690997	0.0434782608695652	23
MMP14	P3	P3_PT	PT	other	0	0	22
MMP14	P3	P3_PT	PT	epithelial	0	0	5
CD209	P3	P3_PT	PT	plasma_cell	0	0	196
CD209	P3	P3_PT	PT	B_cell	0	0	4758
CD209	P3	P3_PT	PT	T_NK	0	0	135
CD209	P3	P3_PT	PT	endothelial	0	0	14
CD209	P3	P3_PT	PT	myeloid	0	0	23
CD209	P3	P3_PT	PT	other	0	0	22
CD209	P3	P3_PT	PT	epithelial	0	0	5
C1QA	P3	P3_PT	PT	plasma_cell	0.00931354932117064	0.00510204081632653	196
C1QA	P3	P3_PT	PT	B_cell	0.00723779865204179	0.00378310214375788	4758
C1QA	P3	P3_PT	PT	T_NK	0.0333940549988636	0.0148148148148148	135
C1QA	P3	P3_PT	PT	endothelial	0	0	14
C1QA	P3	P3_PT	PT	myeloid	3.13890686566949	0.782608695652174	23
C1QA	P3	P3_PT	PT	other	0	0	22
C1QA	P3	P3_PT	PT	epithelial	0	0	5
C1QB	P3	P3_PT	PT	plasma_cell	0.00596038458763787	0.00510204081632653	196
C1QB	P3	P3_PT	PT	B_cell	0.00943691937733816	0.00504413619167718	4758
C1QB	P3	P3_PT	PT	T_NK	0.0312467102574731	0.0222222222222222	135
C1QB	P3	P3_PT	PT	endothelial	0	0	14
C1QB	P3	P3_PT	PT	myeloid	3.35908415686375	0.869565217391304	23
C1QB	P3	P3_PT	PT	other	0	0	22
C1QB	P3	P3_PT	PT	epithelial	0	0	5
C1QC	P3	P3_PT	PT	plasma_cell	0	0	196
C1QC	P3	P3_PT	PT	B_cell	0.00700700407314589	0.00315258511979823	4758
C1QC	P3	P3_PT	PT	T_NK	0.0587140575113393	0.037037037037037	135
C1QC	P3	P3_PT	PT	endothelial	0	0	14
C1QC	P3	P3_PT	PT	myeloid	2.29404521609292	0.521739130434783	23
C1QC	P3	P3_PT	PT	other	0	0	22
C1QC	P3	P3_PT	PT	epithelial	0	0	5
SPP1	P4	P4_LN	LN	B_cell	0	0	4687
SPP1	P4	P4_LN	LN	T_NK	0	0	3775
SPP1	P4	P4_LN	LN	other	0	0	128
SPP1	P4	P4_LN	LN	endothelial	0	0	56
SPP1	P4	P4_LN	LN	plasma_cell	0	0	59
SPP1	P4	P4_LN	LN	epithelial	0	0	7
SPP1	P4	P4_LN	LN	fibroblast_CAF	0	0	1
CD44	P4	P4_LN	LN	B_cell	0.881701518040993	0.510987838702795	4687
CD44	P4	P4_LN	LN	T_NK	1.0957937379856	0.579072847682119	3775
CD44	P4	P4_LN	LN	other	1.21075881084808	0.4453125	128
CD44	P4	P4_LN	LN	endothelial	1.11586529697038	0.517857142857143	56
CD44	P4	P4_LN	LN	plasma_cell	0.821490277413337	0.406779661016949	59
CD44	P4	P4_LN	LN	epithelial	0.292232437698057	0.142857142857143	7
CD44	P4	P4_LN	LN	fibroblast_CAF	2.86697506219861	1	1
ITGB1	P4	P4_LN	LN	B_cell	0.242097163646181	0.159803712395989	4687
ITGB1	P4	P4_LN	LN	T_NK	0.25552113850016	0.150728476821192	3775
ITGB1	P4	P4_LN	LN	other	0.0816698859720455	0.0390625	128
ITGB1	P4	P4_LN	LN	endothelial	0.125490751954852	0.0714285714285714	56
ITGB1	P4	P4_LN	LN	plasma_cell	0.137909261791841	0.101694915254237	59
ITGB1	P4	P4_LN	LN	epithelial	0.214369570262358	0.142857142857143	7
ITGB1	P4	P4_LN	LN	fibroblast_CAF	0	0	1
MMP14	P4	P4_LN	LN	B_cell	0.00098474298642532	0.000853424365265629	4687
MMP14	P4	P4_LN	LN	T_NK	0	0	3775
MMP14	P4	P4_LN	LN	other	0	0	128
MMP14	P4	P4_LN	LN	endothelial	0	0	56
MMP14	P4	P4_LN	LN	plasma_cell	0	0	59
MMP14	P4	P4_LN	LN	epithelial	0	0	7
MMP14	P4	P4_LN	LN	fibroblast_CAF	0	0	1
CD209	P4	P4_LN	LN	B_cell	0	0	4687
CD209	P4	P4_LN	LN	T_NK	0	0	3775
CD209	P4	P4_LN	LN	other	0	0	128
CD209	P4	P4_LN	LN	endothelial	0	0	56
CD209	P4	P4_LN	LN	plasma_cell	0	0	59
CD209	P4	P4_LN	LN	epithelial	0	0	7
CD209	P4	P4_LN	LN	fibroblast_CAF	0	0	1
C1QA	P4	P4_LN	LN	B_cell	0.00035189273676741	0.000213356091316407	4687
C1QA	P4	P4_LN	LN	T_NK	0	0	3775
C1QA	P4	P4_LN	LN	other	0	0	128
C1QA	P4	P4_LN	LN	endothelial	0	0	56
C1QA	P4	P4_LN	LN	plasma_cell	0	0	59
C1QA	P4	P4_LN	LN	epithelial	0	0	7
C1QA	P4	P4_LN	LN	fibroblast_CAF	0	0	1
C1QB	P4	P4_LN	LN	B_cell	0.0012713748125507	0.000853424365265629	4687
C1QB	P4	P4_LN	LN	T_NK	0	0	3775
C1QB	P4	P4_LN	LN	other	0	0	128
C1QB	P4	P4_LN	LN	endothelial	0	0	56
C1QB	P4	P4_LN	LN	plasma_cell	0	0	59
C1QB	P4	P4_LN	LN	epithelial	0	0	7
C1QB	P4	P4_LN	LN	fibroblast_CAF	0	0	1
C1QC	P4	P4_LN	LN	B_cell	0	0	4687
C1QC	P4	P4_LN	LN	T_NK	0	0	3775
C1QC	P4	P4_LN	LN	other	0	0	128
C1QC	P4	P4_LN	LN	endothelial	0	0	56
C1QC	P4	P4_LN	LN	plasma_cell	0	0	59
C1QC	P4	P4_LN	LN	epithelial	0	0	7
C1QC	P4	P4_LN	LN	fibroblast_CAF	0	0	1
SPP1	P4	P4_PT	PT	B_cell	0	0	4687
SPP1	P4	P4_PT	PT	T_NK	0	0	3775
SPP1	P4	P4_PT	PT	other	0	0	128
SPP1	P4	P4_PT	PT	endothelial	0	0	56
SPP1	P4	P4_PT	PT	plasma_cell	0	0	59
SPP1	P4	P4_PT	PT	epithelial	0	0	7
SPP1	P4	P4_PT	PT	fibroblast_CAF	0	0	1
CD44	P4	P4_PT	PT	B_cell	0.881701518040993	0.510987838702795	4687
CD44	P4	P4_PT	PT	T_NK	1.0957937379856	0.579072847682119	3775
CD44	P4	P4_PT	PT	other	1.21075881084808	0.4453125	128
CD44	P4	P4_PT	PT	endothelial	1.11586529697038	0.517857142857143	56
CD44	P4	P4_PT	PT	plasma_cell	0.821490277413337	0.406779661016949	59
CD44	P4	P4_PT	PT	epithelial	0.292232437698057	0.142857142857143	7
CD44	P4	P4_PT	PT	fibroblast_CAF	2.86697506219861	1	1
ITGB1	P4	P4_PT	PT	B_cell	0.242097163646181	0.159803712395989	4687
ITGB1	P4	P4_PT	PT	T_NK	0.25552113850016	0.150728476821192	3775
ITGB1	P4	P4_PT	PT	other	0.0816698859720455	0.0390625	128
ITGB1	P4	P4_PT	PT	endothelial	0.125490751954852	0.0714285714285714	56
ITGB1	P4	P4_PT	PT	plasma_cell	0.137909261791841	0.101694915254237	59
ITGB1	P4	P4_PT	PT	epithelial	0.214369570262358	0.142857142857143	7
